WKT,OBJECTID,hour,lon,depth,month,second,magnitude,year,lat,day,minute,Shape_X,Shape_Y
POINT (-13216964.5465 4518858.7844),304,16,-118.73,,9,31.8,5.8,1941,37.57,14,43,-1.30E+07,4518859
POINT (-13216964.5465 4518858.7844),305,18,-118.73,,9,18.7,5.5,1941,37.57,14,21,-1.30E+07,4518859
POINT (-13216964.5465 4518858.7844),306,18,-118.73,,9,11.9,5.5,1941,37.57,14,39,-1.30E+07,4518859
POINT (-13216964.5465 4518858.7844),307,21,-118.73,,9,1,5,1941,37.57,14,16,-1.30E+07,4518859
POINT (-13239228.4183 4146229.3252),308,19,-118.93,6,9,8.69,5.12,1941,34.87,21,53,-1.30E+07,4146229
POINT (-13892673.9991 4924241.3033),309,16,-124.8,,10,8,6.4,1941,40.4,3,13,-1.40E+07,4924241
POINT (-13914937.9004 4924241.3007),310,6,-125,,10,,5,1941,40.4,6,59,-1.40E+07,4924241
POINT (-13170210.3125 4000639.5311),311,8,-118.31,6,11,37.23,5.12,1941,33.79,14,41,-1.30E+07,4000640
POINT (-13216964.5465 4518858.7844),312,6,-118.73,,12,44,5.4,1941,37.57,31,48,-1.30E+07,4518859
POINT (-13191361.0727 4664536.6424),313,21,-118.5,,8,24,5,1942,38.6,18,55,-1.30E+07,4664537
POINT (-12884119.1648 3891323.2803),314,16,-115.74,6,10,11.56,6.4,1942,32.97,21,22,-1.30E+07,3891323
POINT (-12857402.4848 3932529.1754),315,1,-115.5,6,10,36.17,5.65,1942,33.28,22,50,-1.30E+07,3932529
POINT (-13280416.6958 4822443.1535),316,9,-119.3,,12,42,5.9,1942,39.7,3,44,-1.30E+07,4822443
POINT (-13347208.3892 4703067.9979),317,15,-119.9,,12,43,5.1,1942,38.87,17,7,-1.30E+07,4703068
POINT (-13402868.1517 4783454.6386),318,21,-120.4,,3,28,5.3,1943,39.43,30,7,-1.30E+07,4783455
POINT (-13157965.2145 4607718.5012),319,5,-118.2,,8,4,5.5,1943,38.2,9,30,-1.30E+07,4607719
